Depth_m,MudWeight_ppg,RotarySpeed_rpm,RateOfPenetration_mph,HoleDiameter_in,FormationType,FractureGradient_psi_per_ft,PumpPressure_psi,MudViscosity_cP,FluidLoss_mL_30min,LostCirculation
2310.8904159657686,10.462792628019294,111.47962904552335,27.68899339272377,12.25,Sandstone,0.6172715595908391,2130.014178028457,48.23032684466172,2.33297783565172,No
4327.500072434706,10.352340993039999,132.48890963699876,11.033522673680817,12.25,Shale,0.8332336884760234,2316.1818245465515,45.715292362105345,5.586455984015248,No
3561.9787963399176,15.296909353907775,128.41448368111432,35.53380971741852,12.25,Sandstone,0.7149240843999555,1694.5586615929149,58.33056250415251,9.498764545979597,Yes
3095.304694689628,10.371596498871295,73.85099142243963,26.459068367423452,17.5,Dolomite,0.6991142802988912,2743.452861023191,35.193450777865344,11.463818474880538,Yes
1546.0652415485279,10.539622945964732,73.43245227673265,10.502135924493398,8.5,Dolomite,0.7344225454744904,1870.2773122225576,37.73912518976395,5.77818283844905,No
1545.9808211767092,14.195486968134727,84.1356930970422,38.68183201184224,8.5,Dolomite,0.7038525231918387,3528.8675158368324,52.70217234706882,10.720534313794936,Yes
1203.292642588698,11.87304881837905,92.49672537069335,23.14279121673622,12.25,Dolomite,0.7014856776629728,2551.4764353922355,53.25705683873788,5.937204065321951,No
4031.616510212273,14.325329177163859,96.76100232676343,7.551445815507925,8.5,Limestone,0.8424233003101876,3412.5058099793077,42.146915893174935,3.794946272426481,No
3103.902541101231,8.99024618173289,121.17274951500107,26.939151654527354,17.5,Shale,0.6373515763097076,3886.1510688465837,58.529353039312795,2.034461437768697,No
3478.2540222861594,12.156783952550382,65.10123889492519,13.861961745448358,8.5,Limestone,0.8911800203572375,3623.69487428309,58.147637331455115,5.301810231528798,No
1072.0457300353087,8.75210200137462,63.12054338034598,33.12927081570558,12.25,Shale,0.7664794933123029,3878.6591993645493,30.372291451804784,5.784750507273715,No
4394.68448256698,8.96989902591516,95.27195066495182,33.62377257481667,17.5,Shale,0.6548771995263939,2919.8413171768257,35.16983707022175,11.451175288873362,Yes
3913.549242801476,15.298280900083082,122.74473229241823,39.26315745491316,17.5,Sandstone,0.639364644879506,1913.3110849513546,54.60658325051614,4.060702524206228,Yes
1743.1868873739666,9.544340283381963,77.40918086608343,22.56543358585763,12.25,Dolomite,0.7774528596404948,3838.4898854592516,40.05650054478025,5.822307080175047,No
1636.387385224852,12.493155117064129,117.73540331306265,20.9234907904708,8.5,Shale,0.7898998331540784,3671.260976491927,32.863880360994855,2.251541298231132,No
1641.9157844870183,11.583217019505298,83.38453241462696,31.371646190626823,12.25,Dolomite,0.6159077313089432,3661.032477667321,53.54997523270751,9.635397350913864,Yes
